CÓDIGO,AÑO,ENE,FEB.,MAR.,ABR.,MAY.,JUN.,JUL.,AGO.,SEP.,OCT.,NOV.,DIC.
SKU2005,2016,900,"3,050","2,975","1,809","1,700","2,800",400,"2,075","1,550","2,170","1,780","1,025"
SKU2006,2016,"1,300","1,250","1,600","1,007","1,579","1,575","1,930","1,075","1,541","1,925","4,300","2,575"
SKU2007,2016,270,420,750,490,"1,200","1,380",650,860,460,600,"1,040","1,000"
SKU2008,2016,90,20, -   ,40,110,50,40, -   ,150,20,210, -   
SKU2009,2016,170,230,130, -   ,440,230,310, -   ,200,350,360,180
SKU2010,2016,76,"1,105",-946,99,246,196,85,526,169,280,64,178
SKU2011,2016, -   , -   , -   , -   ,-669,90, -   ,100,120,140,230,290
SKU2012,2016, -   , -   ,"54,000","70,800", -   ,"22,000","8,980","10,500","37,550","5,750","45,750","25,750"
SKU2013,2016,230,630,470,"-2,989",810,50,270,580,620,490,740,600
SKU2014,2016, -   , -   , -   ,"-7,300","1,600","7,400","2,500","2,200","6,000","6,000","7,300","4,990"
SKU2015,2016, -   , -   , -   , -   ,-669,90, -   ,100,120,140,230,290
SKU3001,2016, -   ,"168,000","95,000","109,000","48,000", -   ,"140,000","96,500","171,500","124,000","53,000","129,000"
SKU3002,2016, -   ,"157,000","76,500","54,000","34,500", -   ,"130,000","89,500","126,500","109,000","37,500","143,000"
SKU3003,2016, -   ,"166,000","69,500","87,000","42,000", -   ,"143,500","109,500","178,000","127,500","76,500","133,500"
SKU3004,2016, -   ,"385,000","182,500","189,000","101,000","2,000","496,500","327,000","395,000","422,000","105,500","478,000"
SKU3005,2016, -   ,"145,000","96,000","116,000","48,500", -   ,"172,000","173,500","57,000","162,000","68,500","124,000"
SKU3006,2016, -   ,300,"1,600","5,000", -   , -   ,"6,000","5,400","4,000","3,000","1,000","1,900"
SKU3007,2016, -   ,"4,400","1,700","3,500", -   , -   ,"2,800","4,000","4,000", -   , -   ,"3,000"
